Parameter,Type,Min,Max,Default,Description
Base_Sensitivity,float,0,1,1,"The sensitivity of the diagnostic. This sets the proportion of the time that individuals with the condition being tested receive a positive diagnostic test. When set to zero, then individuals who have the condition always receive a false-negative diagnostic test."
Base_Specificity,float,0,1,1,"The specificity of the diagnostic. This sets the proportion of the time that individuals without the condition being tested receive a negative diagnostic test. When set to 1, the diagnostic always accurately reflects the lack of having the condition. When set to zero, then individuals who do not have the condition always receive a false-positive diagnostic test."
Cost_To_Consumer,float,0,3.40282e+38,1,"The unit 'cost' assigned to the diagnostic. Setting Cost_To_Consumer to zero for all other interventions, and to a non-zero amount for one intervention, provides a convenient way to track the number of times the intervention has been applied in a simulation."
Days_To_Diagnosis,float,0,3.40282e+38,0,The number of days from diagnosis (which is done when the intervention is distributed) until a positive response is performed. The response to a negative diagnosis is done immediately when the diagnosis is made (at distribution of the intervention).
Disqualifying_Properties,array of strings,NA,NA,[],"A list of **IndividualProperty** key:value pairs that cause an intervention to be aborted. Generally used to control the flow of health care access. For example, to prevent the same individual from accessing health care via two different routes at the same time."
Dont_Allow_Duplicates,boolean,0,1,0,"If an individual's container has an intervention, set to true (1) to prevent them from receiving another copy of the intervention. Supported by all intervention classes."
Enable_Is_Symptomatic,boolean,0,1,0,"If true (1), requires an infection to be symptomatic to return a positive test."
Intervention_Name,string,NA,NA,ImmunityBloodTest,The optional name used to refer to this intervention as a means to differentiate it from others that use the same class.
Negative_Diagnosis_Event,enum,NA,NA,"""""","If an individual tests negative (does not have immunity), then an individual type event is broadcast; custom individual events can be defined in the config parameter **Custom_Individual_Events**. This may trigger another intervention when the event occurs."
New_Property_Value,string,NA,NA,"""""",An optional **IndividualProperty** key:value pair that will be assigned when the intervention is applied. Generally used to indicate the broad category of health care cascade to which an intervention belongs to prevent individuals from accessing care through multiple pathways.
Positive_Diagnosis_Event,enum,NA,NA,"""""","If the test is positive (has immunity), then an individual type event is broadcast; custom individual events can be defined in the config parameter **Custom_Individual_Events**. This may trigger another intervention when the event occurs."
Positive_Threshold_Acquisition_Immunity,float,0,1,1,"Specifies the threshold for acquired immunity, where 1 equals 100% immunity and 0 equals 100% susceptible."
Treatment_Fraction,float,0,1,1,The fraction of positive diagnoses that are treated.
